"동별(1)",동별(2),동별(3),2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4,2025 2/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,소계,4501234,9595509,4614132,4981377,9325616,4497354,4828262,269893,116778,153115,2.07,1873638
"합계",종로구,소계,72509,149332,71126,78206,138015,66315,71700,11317,4811,6506,1.90,30413
"합계",종로구,사직동,4568,9150,4058,5092,8909,3919,4990,241,139,102,1.95,1966
"합계",종로구,삼청동,1078,2387,1157,1230,2146,1025,1121,241,132,109,1.99,646
"합계",종로구,부암동,4134,9272,4332,4940,9011,4219,4792,261,113,148,2.18,2024
"합계",종로구,평창동,7137,17427,8108,9319,17234,8011,9223,193,97,96,2.41,3943
"합계",종로구,무악동,2979,7843,3593,4250,7817,3580,4237,26,13,13,2.62,1573
"합계",종로구,교남동,4305,9658,4457,5201,9499,4368,5131,159,89,70,2.21,1761
"합계",종로구,가회동,1856,3804,1773,2031,3707,1720,1987,97,53,44,2.00,903
"합계",종로구,종로1.2.3.4가동,4929,8567,4983,3584,6685,4033,2652,1882,950,932,1.36,1895
"합계",종로구,종로5.6가동,3572,5783,2995,2788,5284,2751,2533,499,244,255,1.48,1127
"합계",종로구,이화동,4435,7575,3474,4101,7042,3260,3782,533,214,319,1.59,1439
"합계",종로구,창신1동,2664,5420,2863,2557,4482,2359,2123,938,504,434,1.68,1355
"합계",종로구,창신2동,3905,8508,4369,4139,7240,3735,3505,1268,634,634,1.85,2026
"합계",종로구,창신3동,2755,6423,3165,3258,6203,3033,3170,220,132,88,2.25,1440
"합계",종로구,숭인1동,3016,6102,2933,3169,5749,2785,2964,353,148,205,1.91,1376
